Hora inicio (UTC),Fin transacción (UTC),Zona horaria local,ID transacción,Estado,Tipo,Descripción,Pagador,Nº tarjeta,División gasto,Divisa original,Importe orig.,Moneda de pago,Importe pagado,Comisión,Cuenta,Fecha envío (UTC),ID gasto,Estado gasto,Descripción gasto,Tasa impuestos,Imp. impuestos,Categoría,Código categoría,Ingreso,Gasto
2025-04-27 15:52:37,2025-04-27 15:54:37,Europe/Madrid,TXN6547930130,Completed,Card Payment,"Lyons, Acosta and Perez",Donna Garcia,4213 1627 6163 5089,2,GBP,167.52,JPY,1.1,0.01,GBP-ACC-983,2025-04-27 15:54:38,EXP0076,Completed,target open-source architectures,0.1,0.11,Salud,SAL007,0.0,1.1
2025-02-18 05:21:36,2025-02-18 05:29:36,Europe/Madrid,TXN5367880897,Completed,Online Payment,Fisher-Prince,Jermaine Fletcher,4552 1953 3477 6790,1,USD,314.35,USD,314.35,3.14,USD-ACC-602,2025-02-18 05:29:37,EXP0077,Completed,mesh turn-key channels,0.1,31.44,Cajero automático,ATM001,0.0,314.35
2025-02-22 03:59:23,2025-02-22 04:00:23,Europe/Madrid,TXN2403027878,Completed,Card Payment,Wallace Group,John Blair,4353 7924 3225 4547,2,EUR,292.04,EUR,292.04,2.92,EUR-ACC-545,2025-02-22 04:00:24,EXP0078,Completed,generate 24/365 systems,0.1,29.2,Compras,COM002,0.0,292.04
2025-02-21 17:16:38,2025-02-21 17:19:38,Europe/Madrid,TXN8504635043,Completed,Subscription,"Mckinney, Bullock and Johnson",Shelby Cox,4009 7705 5321 9744,3,GBP,376.41,GBP,376.41,3.76,GBP-ACC-923,2025-02-21 17:19:39,EXP0079,Completed,extend virtual e-services,0.1,37.64,Salud,SAL007,0.0,376.41
2025-04-02 04:31:00,2025-04-02 04:39:00,Europe/Madrid,TXN9392165774,Completed,ATM Withdrawal,Salazar-Bush,Diane Rich,4003 9201 3264 9420,3,EUR,678.98,EUR,678.98,6.79,EUR-ACC-816,2025-04-02 04:39:01,EXP0080,Completed,seize transparent bandwidth,0.1,67.9,Transporte,TRA003,0.0,678.98
2025-02-07 02:59:09,2025-02-07 03:02:09,Europe/Madrid,TXN5062859206,Completed,ATM Withdrawal,"Terry, Wade and Wong",Morgan Jordan,4760 3757 2285 7998,3,EUR,398.07,USD,361.88,3.62,EUR-ACC-206,2025-02-07 03:02:10,EXP0081,Completed,target holistic portals,0.1,36.19,Compras,COM002,0.0,361.88
2025-04-11 06:00:27,2025-04-11 06:10:27,Europe/Madrid,TXN2617130936,Completed,Card Payment,Lewis-Adams,Christopher Smith,4508 2468 6871 5796,3,JPY,853.0,EUR,110890.0,1108.9,JPY-ACC-254,2025-04-11 06:10:28,EXP0082,Completed,visualize clicks-and-mortar channels,0.1,11089.0,Cajero automático,ATM001,0.0,110890.0
2025-02-08 01:42:19,2025-02-08 01:50:19,Europe/Madrid,TXN8528983977,Completed,Transfer In,Becker-Arellano,Thomas Chavez,4276 9066 7432 1242,2,USD,610.4,USD,610.4,6.1,USD-ACC-643,2025-02-08 01:50:20,EXP0083,Completed,facilitate sticky metrics,0.1,61.04,Salud,SAL007,0.0,610.4
2025-04-28 14:26:41,2025-04-28 14:31:41,Europe/Madrid,TXN5459468200,Completed,Subscription,Norton LLC,Stephanie Scott,4738 2966 7615 6678,2,JPY,1172.86,GBP,179378.59,1793.79,JPY-ACC-152,2025-04-28 14:31:42,EXP0084,Completed,mesh revolutionary solutions,0.1,17937.86,Salud,SAL007,0.0,179378.59
2025-03-09 16:26:22,2025-03-09 16:27:22,Europe/Madrid,TXN6756460408,Completed,Transfer In,Clark PLC,Ryan King,4213 2900 6397 4975,3,GBP,888.73,EUR,755.42,7.55,GBP-ACC-790,2025-03-09 16:27:23,EXP0085,Completed,drive seamless content,0.1,75.54,Cajero automático,ATM001,0.0,755.42
2025-03-24 01:45:44,2025-03-24 01:54:44,Europe/Madrid,TXN4522217328,Completed,Online Payment,Scott-Cooper,Amanda Villa,4835 1839 3558 6645,2,GBP,197.57,USD,152.67,1.53,GBP-ACC-398,2025-03-24 01:54:45,EXP0086,Completed,optimize value-added bandwidth,0.1,15.27,Cajero automático,ATM001,0.0,152.67
2025-03-21 23:25:50,2025-03-21 23:30:50,Europe/Madrid,TXN1730296799,Completed,ATM Withdrawal,"Kim, Stark and Jenkins",Jeremiah Miller II,4582 1714 8239 3061,2,GBP,595.35,JPY,3.89,0.04,GBP-ACC-109,2025-03-21 23:30:51,EXP0087,Completed,transition B2C e-markets,0.1,0.39,Entretenimiento,ENT005,0.0,3.89
2025-04-28 17:45:18,2025-04-28 17:53:18,Europe/Madrid,TXN7115514741,Completed,ATM Withdrawal,Alexander Inc,Kristin Tanner,4542 3782 2036 3578,3,GBP,897.5,USD,693.52,6.94,GBP-ACC-212,2025-04-28 17:53:19,EXP0088,Completed,strategize revolutionary ROI,0.1,69.35,Alimentación,ALI001,0.0,693.52
2025-02-26 03:12:19,2025-02-26 03:21:19,Europe/Madrid,TXN2223906076,Completed,Subscription,Robinson-Pittman,Harold Vang,4797 5594 5230 9812,3,JPY,906.44,GBP,138632.0,1386.32,JPY-ACC-667,2025-02-26 03:21:20,EXP0089,Completed,transform front-end e-business,0.1,13863.2,Cajero automático,ATM001,0.0,138632.0
2025-03-26 10:05:39,2025-03-26 10:11:39,Europe/Madrid,TXN3196194444,Completed,Online Payment,Dawson Group,Julia Walters,4393 6913 8604 1595,3,GBP,230.42,JPY,1.51,0.02,GBP-ACC-521,2025-03-26 10:11:40,EXP0090,Completed,empower bleeding-edge web-readiness,0.1,0.15,Ingresos,ING001,1.51,0.0
2025-02-13 09:57:29,2025-02-13 10:07:29,Europe/Madrid,TXN8301827182,Completed,Card Payment,"Logan, Garcia and Quinn",Dustin Fitzgerald,4748 5082 4966 5496,1,USD,1080.08,GBP,1397.75,13.98,USD-ACC-876,2025-02-13 10:07:30,EXP0091,Completed,repurpose clicks-and-mortar users,0.1,139.78,Entretenimiento,ENT005,0.0,1397.75
2025-03-23 21:59:35,2025-03-23 22:06:35,Europe/Madrid,TXN8360783010,Completed,Online Payment,Trevino-Martinez,Bailey Mclaughlin,4916 2645 4084 3694,2,EUR,689.05,USD,626.41,6.26,EUR-ACC-166,2025-03-23 22:06:36,EXP0092,Completed,seize bleeding-edge methodologies,0.1,62.64,Salud,SAL007,0.0,626.41
2025-04-12 10:58:38,2025-04-12 11:05:38,Europe/Madrid,TXN8617035552,Completed,Online Payment,"Payne, Campbell and Singh",Amy Parker,4335 2484 6030 1493,2,JPY,1128.65,GBP,172617.06,1726.17,JPY-ACC-111,2025-04-12 11:05:39,EXP0093,Completed,harness bleeding-edge relationships,0.1,17261.71,Transporte,TRA003,0.0,172617.06
2025-04-03 21:50:06,2025-04-03 21:55:06,Europe/Madrid,TXN9754935375,Completed,Subscription,Mitchell-Jackson,Kristen Murphy,4363 3077 5560 6375,1,USD,915.54,JPY,7.75,0.08,USD-ACC-507,2025-04-03 21:55:07,EXP0094,Completed,benchmark proactive channels,0.1,0.78,Transporte,TRA003,0.0,7.75
2025-04-28 00:28:59,2025-04-28 00:36:59,Europe/Madrid,TXN1019298185,Completed,ATM Withdrawal,Moore-Thompson,Brandy Clark DVM,4734 2815 9857 8718,1,USD,52.78,GBP,68.3,0.68,USD-ACC-422,2025-04-28 00:37:00,EXP0095,Completed,synthesize killer action-items,0.1,6.83,Cajero automático,ATM001,0.0,68.3
2025-04-14 00:17:11,2025-04-14 00:18:11,Europe/Madrid,TXN8024726549,Completed,Subscription,Cabrera Group,Kevin Fuller,4686 3328 3416 7622,2,GBP,473.0,USD,365.5,3.66,GBP-ACC-623,2025-04-14 00:18:12,EXP0096,Completed,productize sticky e-business,0.1,36.55,Ingresos,ING001,365.5,0.0
2025-04-23 20:30:11,2025-04-23 20:31:11,Europe/Madrid,TXN4107727753,Completed,Online Payment,Fox LLC,Eric Benjamin MD,4044 7344 3952 6647,3,USD,153.08,USD,153.08,1.53,USD-ACC-932,2025-04-23 20:31:12,EXP0097,Completed,leverage rich info-mediaries,0.1,15.31,Transporte,TRA003,0.0,153.08
2025-03-26 21:38:09,2025-03-26 21:40:09,Europe/Madrid,TXN8731802799,Completed,Transfer In,Padilla-Miller,James Lee,4717 5159 5247 9477,2,EUR,673.08,GBP,791.86,7.92,EUR-ACC-258,2025-03-26 21:40:10,EXP0098,Completed,harness distributed architectures,0.1,79.19,Compras,COM002,0.0,791.86
2025-02-07 15:11:48,2025-02-07 15:19:48,Europe/Madrid,TXN3199978512,Completed,Transfer In,Johnson Ltd,Danielle Roy,4837 2173 4160 8480,3,USD,49.21,USD,49.21,0.49,USD-ACC-344,2025-02-07 15:19:49,EXP0099,Completed,repurpose magnetic portals,0.1,4.92,Salud,SAL007,0.0,49.21
